domain,action_name,start_time,end_time
tkacr,ANTENNA (ACR=ON),2026-04-23 04:58:23,2026-04-23 05:30:13
tkacr,ANTENNA 10.1 (ACR=ON),2026-04-23 04:24:27,2026-04-23 04:56:17
tkacr,ANTENNA 14.1 (ACR=ON),2026-05-02 14:00:14,2026-05-02 14:17:12
tkacr,FAST (ACR=ON),2026-04-23 06:07:08,2026-04-23 06:39:05
tkacr,HDMI (ACR=ON),2026-04-24 05:18:27,2026-04-24 05:34:45
tkacr,IDLE (ACR=ON),2026-04-24 17:38:34,2026-04-24 17:55:09
tkacr,NETFLIX (ACR=ON),2026-04-25 00:30:44,2026-04-25 00:49:08
tkacr,SCREENCAST (ACR=ON),2026-05-07 09:14:33,2026-05-07 09:30:35
tkacr,TUBI (ACR=ON),2026-04-24 07:33:34,2026-04-24 07:51:09
tkacr,YOUTUBE (ACR=ON),2026-04-23 19:56:07,2026-04-23 20:28:49
