domain,action_name,start_time,end_time
scribe.logs.roku.com,ANTENNA (ACR=ON),2026-04-22 19:13:45,2026-04-22 19:45:06
scribe.logs.roku.com,ANTENNA 10.1 (ACR=ON),2026-04-22 20:20:36,2026-04-22 20:52:50
scribe.logs.roku.com,ANTENNA 14.1 (ACR=ON),2026-04-22 18:39:50,2026-04-22 19:11:33
scribe.logs.roku.com,FAST (ACR=ON),2026-04-22 22:37:48,2026-04-22 23:09:57
scribe.logs.roku.com,HDMI (ACR=ON),2026-04-23 07:22:40,2026-04-23 07:53:46
scribe.logs.roku.com,IDLE (ACR=ON),2026-04-22 21:30:24,2026-04-22 22:01:13
scribe.logs.roku.com,NETFLIX (ACR=ON),2026-04-22 20:55:02,2026-04-22 21:28:11
scribe.logs.roku.com,SCREENCAST (ACR=ON),2026-05-07 03:52:51,2026-05-07 04:08:20
scribe.logs.roku.com,TUBI (ACR=ON),2026-04-22 22:03:25,2026-04-22 22:35:35
scribe.logs.roku.com,YOUTUBE (ACR=ON),2026-04-22 23:12:10,2026-04-22 23:46:01
